model,landmodel,type
ACCESS-ESM1-5,,CNP
AWI-ESM-1-1-LR,JSBACH 3.20 with dynamic vegetation,
BCC-CSM2-MR,,C
BCC-ESM1,BCC_AVIM2,
CAMS-CSM1-0,CoLM 1.0,
CanESM5-CanOE,CLASS3.6/CTEM1.2,
CanESM5,CLASS3.6/CTEM1.2,C
CAS-ESM2-0,,
CESM2,,CN
CESM2-WACCM,,
CIESM,,
CMCC-CM2-HR4,,
CMCC-CM2-SR5,,
CMCC-ESM2,,
CNRM-CM6-1,,
CNRM-CM6-1-HR,,
CNRM-ESM2-1,,C
E3SM-1-0,,
E3SM-1-1,,
EC-Earth3-CC,,
EC-Earth3-Veg,,
EC-Earth3-Veg-LR,,
FGOALS-g3,,
FIO-ESM-2-0,,
GFDL-CM4,,
GFDL-ESM4,,C
GISS-E2-1-G-CC,,
GISS-E2-1-G,,
GISS-E2-1-H,,
GISS-E2-2-G,,
GISS-E2-2-H,,
GISS-E3-G,,
HadGEM3-GC31-LL,,
HadGEM3-GC31-MM,,
INM-CM4-8,,
INM-CM5-0,,
IPSL-CM6A-LR,,C
IPSL-CM6A-LR-INCA,,
KIOST-ESM,,
MIROC-ES2H,,
MIROC-ES2L,,CN
MPI-ESM-1-2-HAM,,
MPI-ESM1-2-HR,,
MPI-ESM1-2-LR,,CN
MRI-ESM2-0,,
NorESM2-LM,,CN
NorESM2-MM,,
SAM0-UNICON,,
TaiESM1,,
UKESM1-0-LL,,CN
UKESM1-1-LL,,